lsoa11,no2,pm10,so2
E01029821,11.57986307,13.48550129,1.234294474
E01029822,11.57155336,13.6267876,1.260713344
E01029823,11.65748164,13.64606292,1.265059179
E01029824,11.32784714,13.70820002,1.24685805
E01029825,12.12934233,13.70951802,1.265887535
E01029826,12.20724653,13.77941427,1.243544332
E01029827,12.4225373,13.69661469,1.253873765
E01029828,12.51360485,13.69331645,1.249666585
E01029829,12.00470988,13.840522,1.234651432
E01029830,12.4236818,13.61460054,1.252156216
E01029831,12.01818389,13.58317215,1.263380522
E01029832,11.90036449,13.66859794,1.263911789
E01029833,12.18805899,13.68155736,1.263681573
E01029834,11.93434031,13.58846416,1.264765948
E01029835,12.2521372,13.55024113,1.251334917
E01029836,11.6028738,13.52735472,1.261829793
E01029837,12.04040861,13.60441351,1.258455157
E01029838,12.23956234,13.57208967,1.253198691
E01029839,12.38063852,13.65706569,1.255269092
E01029840,11.77041653,13.78982137,1.246508014
E01029841,11.71639628,13.75683898,1.255271326
E01029842,11.52366711,13.85473823,1.231053315
E01029843,12.1404359,13.77804783,1.246669375
E01029844,12.01337103,13.62420741,1.266407208
E01029845,12.15081406,13.7072773,1.266384482
E01029846,11.39388707,13.43406007,1.246282005
E01029847,11.57686799,13.43266711,1.260607615
E01029848,11.65829798,13.43909953,1.255300332
E01029849,11.80995928,13.4545447,1.247436852
E01029850,11.97449491,13.48105873,1.249807387
E01029851,11.96486861,13.50099716,1.241529615
E01029852,11.39929142,13.46722553,1.234068557
E01029853,11.78432129,13.47600584,1.235750709
E01029854,10.817331,13.51968606,1.228120764
E01029855,11.38183567,13.91541782,1.214200174
E01029856,11.64003799,13.8828528,1.223837284
E01029857,11.35497341,13.93839369,1.210868206
E01029858,11.38211136,13.86539007,1.218982485
E01029859,11.43111515,13.90259524,1.219061693
E01029860,12.10422814,13.96738906,1.235326399
E01029861,12.39498967,13.89074671,1.251773306
E01029862,12.28310497,13.91577933,1.247215681
E01029863,12.4187281,13.76463417,1.243377823
E01029864,12.44507314,13.85424143,1.240669451
E01029865,11.49505155,13.96689857,1.213939441
E01029867,12.09858424,13.96754484,1.234984751
E01029868,11.41998948,13.92996857,1.207783824
E01029869,11.49335743,13.97383479,1.213024398
E01029870,9.394004284,14.23581185,1.356238933
E01029871,9.376403407,14.19416322,1.231965523
E01029872,9.285427007,14.28887281,1.318987651
E01029873,10.83595594,14.24251029,1.276066764
E01029874,13.03547223,13.90492233,1.403209984
E01029875,7.925495928,14.39223694,1.080290169
E01029876,7.921866819,14.37375948,1.063223567
E01029877,8.580124321,14.49633072,1.130704002
E01029878,10.20549965,15.23309294,1.4519128
E01029879,9.716091322,14.9408955,1.278621627
E01029880,8.110088655,14.48397616,1.128024838
E01029881,7.613350229,14.16302232,0.999303358
E01029882,8.938231087,14.29396038,1.291935897
E01029883,9.015582988,14.48507103,1.266547642
E01029884,7.612316847,14.2320447,1.013229251
E01029885,7.687697768,14.25374126,1.031125436
E01029886,8.917535458,14.7271086,1.294194437
E01029887,8.57209011,14.57810995,1.231057818
E01029888,8.612872367,14.68808423,1.236656384
E01029889,8.516186418,14.65733049,1.220253709
E01029890,8.493544579,14.60664272,1.216718256
E01029891,8.394648757,14.50860731,1.197470039
E01029892,8.490475909,14.3271661,1.099235953
E01029893,8.250365045,14.36869939,1.089156879
E01029894,8.436024604,14.20292662,1.104221742
E01029895,8.36400032,14.21585528,1.095054189
